sample,link
TCGA-97-8172,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-97-8172-01Z-00-DX1"">TCGA-97-8172-01Z-00-DX1</a>"
TCGA-97-8175,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-97-8175-01Z-00-DX1"">TCGA-97-8175-01Z-00-DX1</a>"
TCGA-97-A4M2,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-97-A4M2-01Z-00-DX1"">TCGA-97-A4M2-01Z-00-DX1</a>"
TCGA-98-8021,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-98-8021-01Z-00-DX1"">TCGA-98-8021-01Z-00-DX1</a>"
TCGA-98-A53D,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-98-A53D-01Z-00-DX1"">TCGA-98-A53D-01Z-00-DX1</a>"
TCGA-99-7458,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-99-7458-01Z-00-DX1"">TCGA-99-7458-01Z-00-DX1</a>"
TCGA-99-8028,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-99-8028-01Z-00-DX1"">TCGA-99-8028-01Z-00-DX1</a>"
TCGA-A1-A0SM,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-A1-A0SM-01Z-00-DX1"">TCGA-A1-A0SM-01Z-00-DX1</a>"
TCGA-A2-A0CO,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-A2-A0CO-01Z-00-DX1"">TCGA-A2-A0CO-01Z-00-DX1</a>"
TCGA-A2-A0CQ,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-A2-A0CQ-01Z-00-DX1"">TCGA-A2-A0CQ-01Z-00-DX1</a>"
TCGA-A2-A0EU,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-A2-A0EU-01Z-00-DX1"">TCGA-A2-A0EU-01Z-00-DX1</a>"
TCGA-A2-A0SX,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-A2-A0SX-01Z-00-DX1"">TCGA-A2-A0SX-01Z-00-DX1</a>"
TCGA-A2-A0SY,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-A2-A0SY-01Z-00-DX1"">TCGA-A2-A0SY-01Z-00-DX1</a>"
TCGA-A2-A0T2,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-A2-A0T2-01Z-00-DX1"">TCGA-A2-A0T2-01Z-00-DX1</a>"
TCGA-A2-A0T5,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-A2-A0T5-01Z-00-DX1"">TCGA-A2-A0T5-01Z-00-DX1</a>"
TCGA-A2-A0YK,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-A2-A0YK-01Z-00-DX1"">TCGA-A2-A0YK-01Z-00-DX1</a>"
TCGA-A2-A1G4,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-A2-A1G4-01Z-00-DX1"">TCGA-A2-A1G4-01Z-00-DX1</a>"
TCGA-A5-A0GE,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-A5-A0GE-01Z-00-DX1"">TCGA-A5-A0GE-01Z-00-DX1</a>"
TCGA-A5-A0GM,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-A5-A0GM-01Z-00-DX1"">TCGA-A5-A0GM-01Z-00-DX1</a>"
TCGA-A5-A0R6,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-A5-A0R6-01Z-00-DX1"">TCGA-A5-A0R6-01Z-00-DX1</a>"
TCGA-A5-A7WJ,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-A5-A7WJ-01Z-00-DX1"">TCGA-A5-A7WJ-01Z-00-DX1</a>"
TCGA-A6-2671,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-A6-2671-01Z-00-DX1"">TCGA-A6-2671-01Z-00-DX1</a>"
TCGA-A6-2677,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-A6-2677-01Z-00-DX1"">TCGA-A6-2677-01Z-00-DX1</a>"
TCGA-A6-2685,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-A6-2685-01Z-00-DX1"">TCGA-A6-2685-01Z-00-DX1</a>"
TCGA-A6-3807,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-A6-3807-01Z-00-DX1"">TCGA-A6-3807-01Z-00-DX1</a>"
TCGA-A6-6142,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-A6-6142-01Z-00-DX1"">TCGA-A6-6142-01Z-00-DX1</a>"
TCGA-A6-6649,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-A6-6649-01Z-00-DX1"">TCGA-A6-6649-01Z-00-DX1</a>"
